input,output,expected,bleu,gemini_score
Men uyda o‘tiribman.,I am at home.,I am sitting at home.,0.18713114109010565,8
Bu mening kitobim.,This is my book.,This is my book.,1.0,10
U maktabga ketdi.,He went to school.,He went to school.,1.0,10
Men choy ichmoqchiman.,I am feeling hungry.,I want to drink tea.,0.06257106818159155,1
U juda yaxshi inson.,He is a very good person.,He is a very good person.,1.0,10
Havo bugun issiq.,The weather is hot today.,The weather is hot today.,1.0,10
Mening ismim Aziz.,My name is Aziz.,My name is Aziz.,1.0,10
Bu uy juda katta.,This house is very big.,This house is very big.,1.0,10
Men televizor ko‘ryapman.,I am watching TV.,I am watching TV.,1.0,10
U mashina haydayapti.,The car is running.,He is driving a car.,0.06257106818159155,1
Men har kuni ertalab sport bilan shug‘ullanaman.,I play sports every day.,I exercise every morning.,0.06389431042462725,6
Kecha biz do‘stlar bilan parkda sayr qildik.,We went to the park with our friends.,Yesterday we walked in the park with friends.,0.1477219991186121,5
U yangi telefon sotib oldi va juda xursand bo‘ldi.,He bought a new phone and was very happy.,He bought a new phone and was very happy.,1.0,10
Men ingliz tilini o‘rganishni davom ettiryapman.,I am continuing to study English.,I am continuing to learn English.,0.537284965911771,9
Biz yozda tog‘larga sayohat qilishni rejalashtiryapmiz.,We are planning a trip to the mountains.,We are planning to travel to the mountains in summer.,0.1346238089016021,6
U o‘zining yangi ishini juda yaxshi ko‘radi.,He is very happy with his new job.,She really likes her new job.,0.05873949094699214,6
Men kitob o‘qishdan zavq olaman.,I am tired of reading books.,I enjoy reading books.,0.09554427922043669,1
"Kechasi yomg‘ir yog‘ib, havo salqinlashdi.","The rain is heavy, the weather is cold.",It rained at night and the weather cooled down.,0.05183741882011645,3
U universitetda informatika bo‘yicha o‘qiyapti.,He studied computer science at university.,He is studying computer science at the university.,0.16449759298465816,5
Biz oilamiz bilan hafta oxiri kinoga bordik.,We went to the cinema with our family last week.,We went to the cinema with our family on the weekend.,0.68752775993657,6
U o‘z maqsadiga erishish uchun qat’iyat bilan ishladi.,He is working hard to achieve his goals.,He worked with determination to achieve his goal.,0.1477219991186121,4
Hayotda eng katta boylik — sog‘liqdir.,The greatest wealth in life is health.,The greatest wealth in life is health.,1.0,10
"U juda dono inson bo‘lib, har doim to‘g‘ri maslahat beradi.",He is a wise person and always gives good advice.,He is a very wise person and always gives good advice.,0.710866788975034,9
Qiyin vaziyatlarda ham umidni yo‘qotmaslik kerak.,It is important to never lose hope in difficult times.,One should not lose hope even in difficult situations.,0.06311969078225892,9
Yaxshi do‘st — qiyinchilikda bilinadi.,A true friend is someone you can rely on in difficult times.,A good friend is known in hardship.,0.0428361950754725,9
"U uzoq o‘ylab, nihoyat to‘g‘ri qarorga keldi.","He struggled for a long time, but finally made the right decision.",He thought for a long time and finally made the right decision.,0.4366835442847812,7
Har bir insonning hayotida o‘ziga xos sinovlar bo‘ladi.,Everyone has their own unique trials and tribulations in life.,Every person has unique challenges in life.,0.05307712171072445,10
U mehnatkashligi va halolligi bilan boshqalardan ajralib turadi.,He stands out from others by his work ethic and honesty.,He stands out from others with his diligence and honesty.,0.4172261448611506,10
