input,output,expected,bleu,gemini_score
I am hungry.,Men ochqaman.,Men och qoldim.,0.09069748827745895,9
She is my sister.,U mening singlim.,U mening singlim.,0.5623413251903491,10
The weather is cold today.,Bugun ob-havo sovuq.,Bugun havo sovuq.,0.13512001548070346,10
This is my house.,Bu mening uyim.,Bu mening uyim.,0.5623413251903491,10
We are friends.,Biz do‘stlarimiz.,Biz do‘stmiz.,0.1495348781221221,8
I want some water.,Menga bir oz suv kerak.,Menga biroz suv kerak.,0.12574334296829354,9
He is very tall.,U juda baland.,U juda baland bo‘yli.,0.17216896116316355,7
Where is the bus stop?,Avtobus bekatlari qayerda?,Avtobus bekati qayerda?,0.13512001548070346,6
I like your car.,Menga sizning mashinangiz yoqadi.,Menga mashinangiz yoqdi.,0.09554427922043669,9
My name is Ali.,Mening ismim Ali.,Mening ismim Ali.,0.5623413251903491,10
I go to the gym three times a week.,Men haftada uch marta sport zaliga boraman.,Men haftasiga uch marta sport zaliga boraman.,0.6434588841607617,10
Yesterday we went shopping at the mall.,Kecha biz savdo markaziga xarid qilishga bordik.,Kecha biz savdo markaziga borib xarid qildik.,0.4347208719449914,9
"He speaks Uzbek, Russian, and English fluently.","U o‘zbek, rus va ingliz tillarini erkin gapiradi.","U o‘zbek, rus va ingliz tillarida ravon gapiradi.",0.5410822690539396,8
I forgot my wallet at home this morning.,Men ertalab hamyonimni uyda unutib ketdim.,Ertalab hamyonimni uyda unutib qoldim.,0.20205155046766235,8
My father works in a bank as a manager.,Mening otam bankda boshqaruvchi sifatida ishlaydi.,Otam bankda menejer bo‘lib ishlaydi.,0.048549177170732344,10
We are planning to visit Samarkand next month.,Biz kelasi oy Samarqandga sayohat qilishni rejalashtirmoqdamiz.,Keyingi oy Samarqandga borishni rejalashtiryapmiz.,0.06985342056580097,10
The train leaves at 8:30 in the morning.,Poyezl ertalab soat 8:30 da jo‘naydi.,Poyezd ertalab soat 8:30 da jo‘naydi.,0.7598356856515925,8
Please call me when you arrive.,"Iltimos, yetib borganingizda menga qo‘ng‘iroq qiling.","Yetib borganingizda iltimos, menga qo‘ng‘iroq qiling.",0.21711852081087685,10
"I don’t eat meat, but I like fish.","Men go‘sht yemayman, lekin baliqni yaxshi ko‘raman.","Men go‘sht yemayman, lekin baliqni yaxshi ko‘raman.",1.0,10
There is a big park near my house.,Uyim yaqinida katta bog‘ bor.,Uyim yonida katta bog‘ bor.,0.28574404296988,10
Education is the most powerful tool to change the world.,Ta’lim dunyoni o‘zgartirish uchun eng kuchli vosita.,Ta’lim — dunyoni o‘zgartirishning eng kuchli vositasidir.,0.08307018474412793,10
"No matter how difficult the road is, we must keep moving forward.","Yo‘l qanchalik qiyin bo‘lmasin, biz oldinga harakatlanishda davom etishimiz kerak.","Yo‘l qanchalik qiyin bo‘lmasin, biz oldinga yurishda davom etishimiz kerak.",0.6580370064762462,9
He achieved success thanks to his patience and hard work.,U sabr va mehnat tufayli muvaffaqiyatga erishdi.,U sabr-toqat va mehnati tufayli muvaffaqiyatga erishdi.,0.18575057999133598,9
Freedom of speech is an important right in every society.,So‘z erkinligi har bir jamiyatda muhim huquqdir.,So‘z erkinligi har bir jamiyatda muhim huquqdir.,1.0,10
The book discusses the impact of technology on human relationships.,Kitob texnologiyaning inson munosabatlariga taʼsirini muhokama qiladi.,Kitob texnologiyaning inson munosabatlariga ta’sirini muhokama qiladi.,0.488923022434901,10
