input,output,expected,bleu,gemini_score
Men uyda o‘tiribman.,I’m sitting at home.,I am sitting at home.,0.3096787331587729,10
Bu mening kitobim.,This is my book.,This is my book.,1.0,10
U maktabga ketdi.,He/She went to school.,He went to school.,0.3976353643835253,10
Men choy ichmoqchiman.,I want to drink tea.,I want to drink tea.,1.0,10
U juda yaxshi inson.,He/She is a very good person.,He is a very good person.,0.7598356856515925,10
Havo bugun issiq.,The weather is hot today.,The weather is hot today.,1.0,10
Mening ismim Aziz.,My name is Aziz.,My name is Aziz.,1.0,10
Bu uy juda katta.,This house is very big.,This house is very big.,1.0,10
Men televizor ko‘ryapman.,I’m watching television.,I am watching TV.,0.0814136751754278,10
U mashina haydayapti.,He/She is driving a car.,He is driving a car.,0.668740304976422,10
Men har kuni ertalab sport bilan shug‘ullanaman.,I exercise every morning.,I exercise every morning.,1.0,10
Kecha biz do‘stlar bilan parkda sayr qildik.,Yesterday we took a walk in the park with friends.,Yesterday we walked in the park with friends.,0.4518010018049224,10
U yangi telefon sotib oldi va juda xursand bo‘ldi.,He bought a new phone and was very happy.,He bought a new phone and was very happy.,1.0,10
Men ingliz tilini o‘rganishni davom ettiryapman.,I’m continuing to learn English.,I am continuing to learn English.,0.5475182535069453,10
Biz yozda tog‘larga sayohat qilishni rejalashtiryapmiz.,We’re planning a trip to the mountains this summer.,We are planning to travel to the mountains in summer.,0.12067008283523631,10
U o‘zining yangi ishini juda yaxshi ko‘radi.,He really likes his new job.,She really likes her new job.,0.12209471671615688,9
Men kitob o‘qishdan zavq olaman.,I enjoy reading books.,I enjoy reading books.,1.0,10
"Kechasi yomg‘ir yog‘ib, havo salqinlashdi.",It rained last night and the weather cooled down.,It rained at night and the weather cooled down.,0.6606328636027614,10
U universitetda informatika bo‘yicha o‘qiyapti.,He/She is studying computer science at university.,He is studying computer science at the university.,0.5578002860768766,9
Biz oilamiz bilan hafta oxiri kinoga bordik.,We went to the cinema with my family at the weekend.,We went to the cinema with our family on the weekend.,0.5348259312838877,8
U o‘z maqsadiga erishish uchun qat’iyat bilan ishladi.,He worked hard with determination to reach his goal.,He worked with determination to achieve his goal.,0.1744391898986843,9
Hayotda eng katta boylik — sog‘liqdir.,The greatest wealth in life is health.,The greatest wealth in life is health.,1.0,10
"U juda dono inson bo‘lib, har doim to‘g‘ri maslahat beradi.",He is a very wise person and always gives the right advice.,He is a very wise person and always gives good advice.,0.7292571723872933,10
Qiyin vaziyatlarda ham umidni yo‘qotmaslik kerak.,"Even in difficult situations, one must not lose hope.",One should not lose hope even in difficult situations.,0.07171781507224269,10
Yaxshi do‘st — qiyinchilikda bilinadi.,A good friend is known in hard times.,A good friend is known in hardship.,0.6803749333171202,10
"U uzoq o‘ylab, nihoyat to‘g‘ri qarorga keldi.","After thinking for a long time, he finally made the right decision.",He thought for a long time and finally made the right decision.,0.4240125351805037,10
Har bir insonning hayotida o‘ziga xos sinovlar bo‘ladi.,Everyone has their own unique challenges in life.,Every person has unique challenges in life.,0.3655552228545123,10
